[header]
width=30
height=16
tilewidth=20
tileheight=20
orientation=orthogonal

[tilesets]
tileset=Data/tileset.png,20,20,0,0

[layer]
type=Tile Layer 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,
41,42,43,44,41,42,43,44,51,51,51,51,51,51,3,3,3,3,3,3,4,0,0,0,0,0,0,0,0,0,
53,54,55,56,53,54,55,56,51,51,51,51,51,51,15,15,15,15,15,15,16,0,0,0,0,0,0,0,0,0,
1,1,1,1,1,1,1,1,51,51,51,51,51,51,27,27,27,27,27,27,28,0,0,0,0,0,0,0,0,0,
13,13,13,13,13,13,13,13,51,51,51,51,51,51,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,
25,25,25,25,25,25,25,25,6,7,8,9,10,11,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,
37,37,37,37,37,37,37,37,18,19,20,21,22,23,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,
37,37,37,37,25,25,37,37,61,61,61,61,61,61,37,37,37,37,37,37,37,0,0,0,0,0,0,0,0,0,
49,49,49,49,49,49,49,49,61,61,61,61,61,61,49,49,49,49,49,49,49,0,0,0,0,0,0,0,0,0,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0,0,0,0,0,0,0,0

